sec,group_name,project_title,project_note,proposal(4),monitoring(5),monitoring_note,noti(5),noti_note,control(5),control_note,storage(5),storage_note,logic(5),logic_note,slide(3),slide_note,present(3),present_note,total,abet,abet_note,group_key
001/801,Sec1: Four Angry,ระบบตรวจสอบคุณภาพผลิตภัณฑ์,0,4,4.0,0,3.5,0,3.5,0,3.5,0,4.0,0,3,0,3,0,28.5,2.0,0,sec1:fourangry
001/801,Sec1: PPG,ระบบตรวจจับการแต่งการของพนักงาน,Dress Dection,4,4.0,0,4.0,0,4.0,0,3.5,0,4.0,No need for object detection,3,0,3,0,29.5,1.0,0,sec1:ppg
001/801,Sec1: กลุ้ม,ระบบตรวจสินค้ากระป๋อง,0,4,3.5,0,3.5,0,4.0,0,3.5,0,4.0,0,3,0,3,0,28.5,0.0,0,sec1:กลุ้ม
001/801,Sec1: น้ำเต้าหู้หวานน้อย,ระบบตรวจสอบเครื่องจักร แบบ Real Time,RTMMS,4,4.0,0,4.0,2 Notifs,3.0,One Btn,3.5,One data,3.5,0,3,0,3,0,28.0,1.0,0,sec1:น้ำเต้าหู้หวานน้อย
001/801,Sec1: เพชรเห็นเพชรแทงนะคะ,ระบบตรวจจับสภาพอากาศ,PM 2.5,4,3.5,0,4.0,0,3.5,0,4.0,0,4.0,0,3,0,3,0,29.0,1.0,0,sec1:เพชรเห็นเพชรแทงนะคะ
001/801,Sec1: ลูกหมู3ตัว,ระบบตรวจสอบการแต่งการของพนักงาน,พนักงานเดินผ่าน ถ่ายรูปอัตโนมัติ,4,3.5,0,4.5,0,4.5,0,4.0,0,3.4,0,3,0,3,0,29.9,2.0,0,sec1:ลูกหมู3ตัว
001/801,Sec1: สาม,ระบบตรวจระดับน้ำตอนเติมน้ำในแก้ว,แนะนำ Machine Learning,4,5.0,OK,4.5,OK,5.0,0,4.5,0,4.5,0,3,0,3,0,33.5,4.0,0,sec1:สาม
001/801,Sec1: หารู้ไม่,ระบบตรวจระดับน้ำตอนเติมน้ำในขวด,Water Level,4,4.0,0,4.0,0,3.5,0,4.0,0,4.5,0,3,0,3,0,30.0,1.0,0,sec1:หารู้ไม่
001/801,Sec1: เหงาจัง,ระบบควบคุมอุณหภูมิ,Light Monitoring,4,3.5,0,3.5,0,4.0,0,4.0,0,3.5,0,3,0,3,Read slide,28.5,2.0,0,sec1:เหงาจัง
003/803,Sec3: eiei,ระบบเปิดปิดไฟอัตโนมัติ,Should be able to turn the system on/off manually or automatically,4,4.0,OK,4.0,OK,4.0,OK,4.0,One collection,4.0,OK,3,OK,3,OK,30.0,4.0,0,sec3:eiei
003/803,Sec3: Good morning,ระบบตรวจจับความเข้มข้นของ Gas,Use Light Sensor instead of pressure meter,4,4.0,OK,5.0,Telegram and sound,4.0,Turn off notification and turning on/off ventilation system (but does not affect the flow),5.0,Two collections,4.5,OK,3,OK,3,OK,32.5,4.0,0,sec3:goodmorning
003/803,Sec3: nguang-non,Inventory Tracking System,"Count stock in/out, notify summary after a certain period",4,4.0,OK,4.0,OK,5.0,Multiple controls,5.0,Two collections,4.5,OK,3,OK,3,OK,32.5,4.0,0,sec3:nguang-non
003/803,Sec3: no 123,ระบบตรวจจับสินค้าค้าง Stock,Should turn off auto noti,4,4.0,OK,4.0,OK,3.0,OK,4.0,One collection,3.5,OK,3,OK,3,OK,28.5,2.0,0,sec3:no123
003/803,Sec3: tew,ระบบแจ้งเตือนเครื่องจักรเสีย,Use NR Android Phone,4,3.0,OK,3.0,OK,3.0,OK,4.0,OK,3.0,OK,3,OK,3,OK,26.0,4.0,0,sec3:tew
003/803,Sec3: ไก่บักโจ้น,ระบบป้องการทกรกได้รับแสงมากเกินไปในห้อง IMCU,Use Light Sensor,4,4.0,OK,4.0,OK,3.0,OK,4.0,OK,3.5,OK,3,OK,3,OK,28.5,3.0,0,sec3:ไก่บักโจ้น
