student_id,group_key
630610340,sec5:เทพซ่า
640610093,sec6:มี2
640610197,sec2:มาสาม
640610366,sec1:กลุ้ม
640610411,sec4:eiei
640610499,sec4:kikiworld
640612010,sec4:kikiworld
640612042,sec6:มี2
640612050,
640612054,sec5:sheserved
650610339,sec1:หารู้ไม่
650610363,sec5:sheserved
650610401,sec5:sheserved
650610539,sec1:สาม
650610588,sec2:มาสาม
650610888,sec3:no123
650612015,sec2:ดอกไม้เบ่งบาน
650612023,sec3:eiei
650612031,sec2:มาสาม
650612035,sec1:สาม
650612054,sec1:ลูกหมู3ตัว
660610320,sec1:fourangry
660610321,sec5:เรือกล้วย
660610322,sec3:nguang-non
660610323,sec1:fourangry
660610324,sec2:ดุดันไม่เกรงใจใคร
660610325,sec1:วิดวะมช.รู้จักปะ
660610326,sec1:เพชรเห็นเพชรแทงนะคะ
660610327,sec3:tew
660610330,sec1:กลุ้ม
660610331,sec1:กลุ้ม
660610332,sec6:มี2
660610333,sec5:เรือกล้วย
660610334,sec6:มี2
660610335,sec2:อยากได้ชุดโกโกวา
660610336,sec3:nguang-non
660610337,sec4:เด้งเนยเนยเด้ง
660610338,sec2:betty
660610339,sec5:เรือกล้วย
660610340,sec5:จั๋งดุ๋ง
660610341,sec2:ดุดันไม่เกรงใจใคร
660610342,sec3:นางฟ้าตัวน้อยของแม่
660610343,sec5:หมี่เหลืองน่องไก่น้ำเนื้อพิเศษเส้น
660610345,sec3:ไออีสีชมพู
660610346,sec4:เด้งเนยเนยเด้ง
660610347,sec1:กุ๊กๆกู๋
660610348,sec3:นางฟ้าตัวน้อยของแม่
660610350,sec4:abc
660610351,sec1:น้ำเต้าหู้หวานน้อย
660610353,sec1:น้ำเต้าหู้หวานน้อย
660610354,sec1:stickyriceลูกผู้ชายพันธุ์ข้าวเหนียว
660610355,sec4:hiwmakkkk
660610356,sec1:น้ำเต้าหู้หวานน้อย
660610357,sec5:จั๋งดุ๋ง
660610358,sec3:eiei
660610359,sec4:hellouniverse
660610360,sec5:หมี่เหลืองน่องไก่น้ำเนื้อพิเศษเส้น
660610361,sec3:eiei
660610362,sec4:abc
660610363,sec5:จั๋งดุ๋ง
660610364,sec1:น้ำเต้าหู้หวานน้อย
660610365,sec2:betty
660610369,sec4:hiwmakkkk
660610370,sec4:hellouniverse
660610371,
660610372,
660610373,sec4:hellouniverse
660610374,sec4:abc
660610376,sec4:eiei
660610377,sec4:hiwmakkkk
660610378,sec3:นางฟ้าตัวน้อยของแม่
660610379,sec2:betty
660610381,sec6:มา3
660610383,sec2:ดอกไม้เบ่งบาน
660610385,sec4:eiei
660610386,sec6:บิดหมดไม่สลดบิดอีก
660610387,sec2:ดอกไม้เบ่งบาน
660610388,sec6:print(a)
660610389,sec4:eiei
660610390,sec3:eiei
660610391,sec3:ไก่บักโจ้น
660610392,sec6:ไม่ทันแล้ว
660610394,sec6:บิดหมดไม่สลดบิดอีก
660610396,sec6:ไม่ทันแล้ว
660610397,sec6:บิดหมดไม่สลดบิดอีก
660610398,sec6:บิดหมดไม่สลดบิดอีก
660610399,sec6:print(a)
660610400,sec6:jungdaikoboru
660610401,sec3:goodmorning
660610402,sec4:kikiworld
660610403,sec4:eiei
660610404,sec3:goodmorning
660610405,sec4:kikiworld
660610406,sec1:สาม
660610407,sec4:gangster
660610408,sec6:print(a)
660610409,sec2:bob
660610410,sec5:ซีอิ๊วขาวแต่สีดำ
660610411,sec1:หารู้ไม่
660610412,sec5:ซีอิ๊วขาวแต่สีดำ
660610413,sec2:duckpro
660610414,sec5:เทพซ่า
660610415,sec5:ซีอิ๊วขาวแต่สีดำ
660610417,sec4:gangster
660610418,sec5:ปุ๊ระเบิดขวด
660610420,sec2:betty
660610423,sec6:oppaicy
660610424,
660610425,
660610426,sec6:oppaicy
660610427,sec2:bob
660610428,sec6:oppaicy
660610429,sec6:oppaicy
660610430,sec4:abc
660610431,sec4:gangster
660610432,sec2:duckpro
660610434,sec3:ไออีสีชมพู
660610435,sec6:oppaicy
660610436,sec3:ไออีสีชมพู
660610437,sec4:001
660610438,sec3:ไก่บักโจ้น
660610439,sec2:อยากได้ชุดโกโกวา
660610440,sec3:ไก่บักโจ้น
660610441,sec3:nguang-non
660610442,sec3:nguang-non
660610443,sec3:ไก่บักโจ้น
660610444,sec3:ไก่บักโจ้น
660610445,sec2:อยากได้ชุดโกโกวา
660610447,sec3:nguang-non
660610448,sec3:eiei
660610450,sec6:มา3
660610451,sec2:ดอกไม้เบ่งบาน
660610452,sec5:หมี่เหลืองน่องไก่น้ำเนื้อพิเศษเส้น
660610454,sec4:abc
660610455,sec5:เรือกล้วย
660610456,sec6:ไม่ทันแล้ว
660610457,sec6:jungdaikoboru
660610458,sec4:hellouniverse
660610459,sec4:เด้งเนยเนยเด้ง
660610460,sec2:duckpro
660610461,sec2:duckpro
660610462,sec1:หารู้ไม่
660610463,sec2:betty
660610464,sec1:หารู้ไม่
660610465,sec2:เวฟกระบะซิ่ง
660610466,sec2:เวฟกระบะซิ่ง
660610467,sec2:bob
660610468,sec1:ppg
660610469,sec6:jungdaikoboru
660610470,sec6:jungdaikoboru
660610471,sec6:print(a)
660610472,sec5:sheserved
660610473,sec6:jungdaikoboru
660610474,sec1:ppg
660610475,sec3:goodmorning
660610476,sec5:หมี่เหลืองน่องไก่น้ำเนื้อพิเศษเส้น
660610477,
660610478,sec6:มา3
660610480,sec2:เวฟกระบะซิ่ง
660610481,sec2:เวฟกระบะซิ่ง
660610482,sec2:duckpro
660610483,sec1:fourangry
660610484,sec3:goodmorning
660610485,sec6:print(a)
660610486,sec1:ppg
660610488,sec3:goodmorning
660610489,sec1:เพชรเห็นเพชรแทงนะคะ
660610491,sec1:เพชรเห็นเพชรแทงนะคะ
660610492,sec4:hiwmakkkk
660610493,sec2:ดอกไม้เบ่งบาน
660610494,sec1:ppg
660610495,sec5:เทพซ่า
660610865,sec3:tew
660612050,sec6:มีหนุ่มตี๋เป็นเส้นชัย
660612051,sec5:001
660612052,sec6:มีหนุ่มตี๋เป็นเส้นชัย
660612054,sec6:มีหนุ่มตี๋เป็นเส้นชัย
660612055,sec4:เซรั่มนารา
660612056,sec6:มีหนุ่มตี๋เป็นเส้นชัย
660612058,sec1:ลูกหมู3ตัว
660612059,sec3:no123
660612061,sec2:bob
660612063,sec5:001
660612064,sec2:ดุดันไม่เกรงใจใคร
660612067,sec5:เทพซ่า
660612068,sec3:ภูเพียง
660612069,sec2:bob
660612070,sec1:เหงาจัง
660612072,sec1:เหงาจัง
660612073,sec4:เซรั่มนารา
660612077,sec5:ซีอิ๊วขาวแต่สีดำ
660612079,sec4:เซรั่มนารา
660612083,sec4:เซรั่มนารา
660612084,sec6:ไม่บอกหรอก
660612085,sec4:เซรั่มนารา
660612088,sec1:เหงาจัง
660612089,sec5:001
660612090,sec1:เหงาจัง
660612091,sec4:001
660612096,sec3:ไออีสีชมพู
660612101,sec1:เหงาจัง
660612104,sec6:ไม่บอกหรอก
660612105,sec3:no123
660612106,sec2:qko
660612107,sec6:ไม่บอกหรอก
660612108,sec6:มีหนุ่มตี๋เป็นเส้นชัย
660612110,sec5:001
660612111,sec3:ไออีสีชมพู
660612112,sec3:no123
660612113,sec2:qko
660612115,sec3:no123
660612116,sec5:นางฟ้า
660612117,sec1:ลูกหมู3ตัว
660612118,sec1:หารู้ไม่
660612120,sec1:เพชรเห็นเพชรแทงนะคะ
660612121,sec3:tew
660612124,sec2:qko
660612126,sec5:001
660612127,sec3:tew
660612128,sec2:ดุดันไม่เกรงใจใคร
660612129,sec2:เวฟกระบะซิ่ง
660612130,sec6:ไม่บอกหรอก
660612132,sec4:001
660612133,sec4:001
660612134,sec6:ไม่บอกหรอก
660612136,sec4:001
650610342,sec5:นางฟ้า
670612182,sec5:นางฟ้า
650610637,sec1:เพชรเห็นเพชรแทงนะคะ
